Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
HomerSimpson_R2	(1, 36.13939393939394)	(2, 36.17272727272727)	(3, 36.236363636363635)	(4, 36.45757575757576)	(5, 36.11515151515152)	(6, 36.47121212121212)	(7, 36.49090909090909)	(8, 36.474242424242426)	(9, 36.43333333333333)	(10, 36.339696969696966)	(15, 36.2060606060606)	(20, 36.18030303030303)	(25, 36.228181818181824)	(30, 36.29424242424243)	(35, 36.155757575757576)	(40, 36.25242424242424)	(45, 36.1469696969697)	(50, 36.21848484848485)	(55, 35.8)	(60, 36.06575757575757)	(65, 35.82939393939394)	(70, 35.975151515151516)	(75, 36.00030303030303)	(80, 35.8209090909091)	(85, 35.81090909090909)	(90, 35.85575757575758)	(95, 35.79848484848485)	(100, 35.84666666666667)	(105, 35.84242424242424)	(110, 35.620303030303035)	(115, 35.63212121212121)	(120, 35.87212121212121)	(125, 35.736666666666665)	(130, 35.71757575757576)	(135, 35.50333333333333)	(140, 35.590606060606056)	(145, 35.75484848484849)	(150, 35.736363636363635)
HomerSimpson_R2_filtered	(1, 36.14132925897632)	(2, 36.1948051948052)	(3, 36.22994652406417)	(4, 36.45301757066463)	(5, 36.147440794499616)	(6, 36.46676852559205)	(7, 36.506493506493506)	(8, 36.47899159663866)	(9, 36.44690603514133)	(10, 36.337815126050415)	(15, 36.2070282658518)	(20, 36.19663865546219)	(25, 36.2375859434683)	(30, 36.295951107715815)	(35, 36.15233002291826)	(40, 36.259467857201265)	(45, 36.15049030274527)	(50, 36.22542113323124)	(55, 35.79021738747778)	(60, 36.066523047269825)	(65, 35.83006134969325)	(70, 35.98515059631148)	(75, 36.00255301189621)	(80, 35.818583574764965)	(85, 35.82976530776305)	(90, 35.87195604353917)	(95, 35.79717244764557)	(100, 35.847536219136316)	(105, 35.84662536232902)	(110, 35.64594583771004)	(115, 35.622951207256435)	(120, 35.85679384243086)	(125, 35.72293392406342)	(130, 35.651683974161934)	(135, 35.533991357730926)	(140, 35.55036775180454)	(145, 35.69391980882095)	(150, 35.80285710082241)
LisaSimpson_R1	(1, 36.74545454545454)	(2, 36.31212121212121)	(3, 36.21666666666667)	(4, 35.78939393939394)	(5, 36.60757575757576)	(6, 36.43636363636364)	(7, 36.59090909090909)	(8, 36.346969696969694)	(9, 36.27121212121212)	(10, 36.18515151515152)	(15, 36.39818181818182)	(20, 36.36333333333333)	(25, 36.355606060606064)	(30, 36.2109090909091)	(35, 36.17121212121212)	(40, 36.08060606060606)	(45, 36.3239393939394)	(50, 36.14727272727272)	(55, 36.16666666666667)	(60, 36.238787878787875)	(65, 36.22636363636364)	(70, 35.913333333333334)	(75, 35.84909090909091)	(80, 35.76818181818182)	(85, 36.156969696969696)	(90, 35.8209090909091)	(95, 35.85909090909091)	(100, 35.95)	(105, 35.81454545454545)	(110, 35.67575757575757)	(115, 35.585151515151516)	(120, 35.85181818181818)	(125, 35.87333333333333)	(130, 35.904242424242426)	(135, 35.769393939393936)	(140, 35.974242424242426)	(145, 35.74606060606061)	(150, 36.15227272727273)
LisaSimpson_R1_filtered	(1, 36.74370709382151)	(2, 36.30739893211289)	(3, 36.23112128146453)	(4, 35.79023646071701)	(5, 36.604881769641494)	(6, 36.432494279176204)	(7, 36.588100686498855)	(8, 36.35163996948894)	(9, 36.26620900076278)	(10, 36.1813882532418)	(15, 36.40350877192982)	(20, 36.358962623951186)	(25, 36.35484363081617)	(30, 36.220442410373764)	(35, 36.1673531655225)	(40, 36.07531627779495)	(45, 36.32009167303285)	(50, 36.14512093411175)	(55, 36.17003058103975)	(60, 36.23356691244067)	(65, 36.22511850574388)	(70, 35.92412629520026)	(75, 35.8571502791646)	(80, 35.77349768875193)	(85, 36.153620040515975)	(90, 35.82586890132803)	(95, 35.850806819691044)	(100, 35.93534396901835)	(105, 35.78503048122771)	(110, 35.64077450354501)	(115, 35.56667115753834)	(120, 35.86011705801407)	(125, 35.8633954726082)	(130, 35.84763409880301)	(135, 35.78287419577568)	(140, 36.04997460831074)	(145, 35.663164221375574)	(150, 36.2251225490196)
LisaSimpson_R2	(1, 36.29242424242424)	(2, 36.14242424242424)	(3, 36.1030303030303)	(4, 36.39090909090909)	(5, 36.09090909090909)	(6, 36.05)	(7, 36.35454545454545)	(8, 36.127272727272725)	(9, 36.53636363636364)	(10, 36.18212121212121)	(15, 36.38787878787879)	(20, 36.06878787878788)	(25, 36.29878787878788)	(30, 36.19121212121212)	(35, 36.18030303030303)	(40, 36.27333333333333)	(45, 36.09484848484848)	(50, 36.21545454545455)	(55, 36.00575757575758)	(60, 36.0339393939394)	(65, 36.055454545454545)	(70, 36.0439393939394)	(75, 35.99666666666667)	(80, 35.82727272727273)	(85, 35.97409090909091)	(90, 35.84333333333334)	(95, 35.74454545454545)	(100, 36.012727272727275)	(105, 35.876060606060605)	(110, 35.89969696969697)	(115, 35.85424242424243)	(120, 35.625151515151515)	(125, 35.86939393939394)	(130, 35.59939393939394)	(135, 35.780606060606054)	(140, 35.53181818181818)	(145, 35.7469696969697)	(150, 35.983333333333334)
LisaSimpson_R2_filtered	(1, 36.287566742944314)	(2, 36.13653699466057)	(3, 36.09687261632342)	(4, 36.40655987795576)	(5, 36.09382151029748)	(6, 36.06178489702517)	(7, 36.350114416475975)	(8, 36.121281464530895)	(9, 36.53318077803203)	(10, 36.176506483600306)	(15, 36.387643020594965)	(20, 36.066361556064074)	(25, 36.29977116704805)	(30, 36.19145690312738)	(35, 36.17833714721586)	(40, 36.2721887027559)	(45, 36.091908396946565)	(50, 36.214295520416634)	(55, 36.008722264728384)	(60, 36.0378126745556)	(65, 36.05368098159509)	(70, 36.058282208588956)	(75, 35.991702489300295)	(80, 35.817805065234076)	(85, 35.96753846153847)	(90, 35.82841199478487)	(95, 35.753772730852994)	(100, 36.02470179363299)	(105, 35.88264477923633)	(110, 35.88384910372946)	(115, 35.865682592105394)	(120, 35.67007124765085)	(125, 35.867879422516275)	(130, 35.60392996417384)	(135, 35.7707484855155)	(140, 35.505990809839545)	(145, 35.718429822280676)	(150, 36.002817982456136)
MaggieSimpson_R1	(1, 36.43674698795181)	(2, 35.894578313253014)	(3, 36.04216867469879)	(4, 35.721385542168676)	(5, 36.248493975903614)	(6, 36.44879518072289)	(7, 36.34789156626506)	(8, 36.295180722891565)	(9, 36.23795180722892)	(10, 36.39578313253013)	(15, 36.41867469879518)	(20, 36.51024096385542)	(25, 36.17620481927711)	(30, 36.209939759036146)	(35, 36.30331325301205)	(40, 36.413554216867475)	(45, 36.27108433734939)	(50, 36.20542168674699)	(55, 36.38584337349398)	(60, 36.42319277108434)	(65, 36.04427710843373)	(70, 36.18343373493976)	(75, 36.093674698795176)	(80, 36.1527108433735)	(85, 36.084939759036146)	(90, 36.147891566265066)	(95, 36.08102409638555)	(100, 35.947891566265056)	(105, 36.177108433734944)	(110, 35.869277108433735)	(115, 35.834638554216866)	(120, 35.90180722891566)	(125, 36.07349397590362)	(130, 35.76415662650602)	(135, 35.96355421686748)	(140, 35.94879518072289)	(145, 35.89307228915662)	(150, 36.12198795180723)
MaggieSimpson_R1_filtered	(1, 36.432903714935556)	(2, 35.896133434420015)	(3, 36.03563305534496)	(4, 35.71266110689917)	(5, 36.24336618650493)	(6, 36.44503411675512)	(7, 36.3434420015163)	(8, 36.290371493555725)	(9, 36.241849886277485)	(10, 36.395299469294926)	(15, 36.416527672479155)	(20, 36.50689916603488)	(25, 36.178468536770275)	(30, 36.21031084154663)	(35, 36.302198635329795)	(40, 36.409377131937674)	(45, 36.27623386484434)	(50, 36.20403029820468)	(55, 36.39148936170213)	(60, 36.42553191489362)	(65, 36.0486238977429)	(70, 36.18296577946768)	(75, 36.088674697676154)	(80, 36.15084016011916)	(85, 36.0783281591293)	(90, 36.13822199661163)	(95, 36.06362832486728)	(100, 35.9587784096595)	(105, 36.17625249973342)	(110, 35.89562222685544)	(115, 35.84260571596069)	(120, 35.96548434075073)	(125, 36.03064154830224)	(130, 35.80751948062431)	(135, 36.01073027322853)	(140, 35.91277658669727)	(145, 35.9218871544664)	(150, 36.150507642890574)
MaggieSimpson_R2	(1, 36.088855421686745)	(2, 35.71987951807229)	(3, 36.234939759036145)	(4, 36.015060240963855)	(5, 36.17921686746988)	(6, 36.16566265060241)	(7, 36.49246987951807)	(8, 36.42620481927711)	(9, 36.33132530120482)	(10, 36.3027108433735)	(15, 36.269277108433734)	(20, 36.31686746987952)	(25, 36.19186746987951)	(30, 36.1960843373494)	(35, 36.31114457831325)	(40, 36.20090361445783)	(45, 36.12951807228916)	(50, 36.0828313253012)	(55, 36.013253012048196)	(60, 36.16475903614458)	(65, 35.982831325301206)	(70, 35.822891566265056)	(75, 35.88493975903615)	(80, 35.861445783132524)	(85, 35.775)	(90, 35.93493975903615)	(95, 35.77078313253012)	(100, 35.88674698795181)	(105, 35.855120481927706)	(110, 36.1132530120482)	(115, 36.10240963855422)	(120, 36.022891566265066)	(125, 35.718674698795176)	(130, 35.816265060240966)	(135, 35.53403614457831)	(140, 35.753614457831326)	(145, 35.79879518072289)	(150, 35.52484939759036)
MaggieSimpson_R2_filtered	(1, 36.082638362395755)	(2, 35.71114480667172)	(3, 36.229719484457924)	(4, 36.00833965125095)	(5, 36.17361637604245)	(6, 36.15996967399545)	(7, 36.489006823351026)	(8, 36.422289613343445)	(9, 36.3267626990144)	(10, 36.29977255496588)	(15, 36.270053070507956)	(20, 36.3158453373768)	(25, 36.192115238817294)	(30, 36.19818043972707)	(35, 36.31008339651251)	(40, 36.195205822224736)	(45, 36.12867981790592)	(50, 36.08462973396796)	(55, 36.012604403948366)	(60, 36.16324981017464)	(65, 35.980106302201975)	(70, 35.83219438116932)	(75, 35.87927107061503)	(80, 35.852887537993915)	(85, 35.77414046481469)	(90, 35.94178329213296)	(95, 35.80153491941673)	(100, 35.9074382597642)	(105, 35.847853969963275)	(110, 36.098468305945794)	(115, 36.103132031308384)	(120, 36.03052470909086)	(125, 35.69843200022002)	(130, 35.834938317473615)	(135, 35.48575593351815)	(140, 35.74258089966794)	(145, 35.84795557536496)	(150, 35.55011894328283)
MargeSimpson_R1	(1, 36.01807228915663)	(2, 36.09186746987952)	(3, 36.04066265060241)	(4, 35.97289156626506)	(5, 36.36746987951807)	(6, 36.56475903614458)	(7, 36.480421686746986)	(8, 36.28313253012048)	(9, 36.506024096385545)	(10, 36.44427710843373)	(15, 36.34246987951807)	(20, 36.4566265060241)	(25, 36.13343373493976)	(30, 36.12409638554217)	(35, 36.21656626506024)	(40, 36.158433734939756)	(45, 36.287650602409634)	(50, 36.15873493975904)	(55, 36.235542168674705)	(60, 36.40060240963855)	(65, 36.21355421686747)	(70, 36.0789156626506)	(75, 35.91536144578313)	(80, 36.102560240963854)	(85, 36.03042168674699)	(90, 36.02831325301205)	(95, 36.15481927710843)	(100, 36.00662650602409)	(105, 35.93493975903615)	(110, 35.88524096385542)	(115, 36.07831325301205)	(120, 35.92620481927711)	(125, 35.78975903614458)	(130, 35.880120481927705)	(135, 35.93765060240964)	(140, 35.87048192771084)	(145, 35.88825301204819)	(150, 36.03463855421687)
MargeSimpson_R2	(1, 36.1094674556213)	(2, 35.79585798816568)	(3, 35.95414201183432)	(4, 35.875739644970416)	(5, 36.15828402366864)	(6, 36.34319526627219)	(7, 36.155325443786985)	(8, 36.27218934911242)	(9, 35.88609467455621)	(10, 36.253550295857984)	(15, 36.25029585798817)	(20, 36.27426035502959)	(25, 36.258284023668644)	(30, 36.350591715976336)	(35, 36.14970414201183)	(40, 36.299704142011834)	(45, 36.29940828402367)	(50, 36.07218934911243)	(55, 36.02100591715976)	(60, 36.064201183431955)	(65, 35.96005917159763)	(70, 36.06508875739645)	(75, 36.10236686390532)	(80, 36.06094674556213)	(85, 36.131065088757396)	(90, 35.838461538461544)	(95, 35.784319526627215)	(100, 35.97485207100592)	(105, 35.779289940828406)	(110, 35.65591715976332)	(115, 35.646153846153844)	(120, 35.72603550295858)	(125, 35.744082840236686)	(130, 35.58195266272189)	(135, 35.77633136094674)	(140, 35.586982248520705)	(145, 35.67662721893491)	(150, 35.694526627218934)
PattyBouvier_R1	(1, 36.222727272727276)	(2, 35.99393939393939)	(3, 36.31818181818182)	(4, 36.17121212121212)	(5, 36.58181818181818)	(6, 36.35)	(7, 36.525757575757574)	(8, 36.43333333333333)	(9, 36.554545454545455)	(10, 36.42060606060606)	(15, 36.32060606060606)	(20, 36.35606060606061)	(25, 36.38636363636364)	(30, 36.3160606060606)	(35, 36.42090909090909)	(40, 36.28575757575758)	(45, 36.22090909090909)	(50, 36.220909090909096)	(55, 36.24787878787879)	(60, 36.17060606060606)	(65, 35.89212121212121)	(70, 36.025151515151514)	(75, 36.09121212121212)	(80, 35.979393939393944)	(85, 36.150909090909096)	(90, 36.338181818181816)	(95, 36.20757575757576)	(100, 35.948787878787876)	(105, 36.027575757575754)	(110, 35.941515151515155)	(115, 35.99666666666667)	(120, 35.724848484848486)	(125, 35.790909090909096)	(130, 36.026969696969694)	(135, 35.79)	(140, 35.80393939393939)	(145, 35.70242424242424)	(150, 35.609848484848484)
PattyBouvier_R2	(1, 36.205357142857146)	(2, 36.22767857142857)	(3, 36.37797619047619)	(4, 36.285714285714285)	(5, 36.592261904761905)	(6, 36.382440476190474)	(7, 36.535714285714285)	(8, 36.482142857142854)	(9, 36.354166666666664)	(10, 36.166666666666664)	(15, 36.29226190476191)	(20, 36.37380952380952)	(25, 36.147619047619045)	(30, 36.21934523809524)	(35, 36.19940476190477)	(40, 36.1735119047619)	(45, 36.08154761904762)	(50, 36.14375)	(55, 36.172916666666666)	(60, 36.305952380952384)	(65, 36.083035714285714)	(70, 35.952083333333334)	(75, 36.08958333333334)	(80, 35.96696428571428)	(85, 35.691071428571426)	(90, 35.98571428571429)	(95, 36.02380952380952)	(100, 36.05357142857143)	(105, 35.96577380952381)	(110, 35.76309523809524)	(115, 35.79434523809523)	(120, 35.949107142857144)	(125, 36.117261904761904)	(130, 35.878273809523805)	(135, 35.58690476190476)	(140, 35.75654761904762)	(145, 35.52827380952381)	(150, 35.74181547619048)
SelmaBouvier_R1	(1, 36.338855421686745)	(2, 36.04066265060241)	(3, 35.71536144578313)	(4, 36.015060240963855)	(5, 36.38704819277108)	(6, 36.48192771084337)	(7, 36.28463855421687)	(8, 36.68825301204819)	(9, 36.53765060240964)	(10, 36.341566265060244)	(15, 36.52710843373494)	(20, 36.41897590361445)	(25, 36.3605421686747)	(30, 36.357228915662645)	(35, 36.33343373493976)	(40, 36.50481927710843)	(45, 36.42650602409638)	(50, 36.168072289156626)	(55, 36.24337349397591)	(60, 36.13463855421686)	(65, 36.22620481927711)	(70, 36.20210843373494)	(75, 36.082530120481934)	(80, 36.27951807228916)	(85, 35.93614457831325)	(90, 36.047590361445785)	(95, 36.046987951807225)	(100, 35.99397590361446)	(105, 35.90542168674699)	(110, 36.03493975903614)	(115, 36.03734939759036)	(120, 36.227409638554214)	(125, 36.216566265060244)	(130, 35.86114457831325)	(135, 36.06777108433735)	(140, 35.74548192771084)	(145, 35.96746987951808)	(150, 36.34939759036145)
SelmaBouvier_R2	(1, 35.8698224852071)	(2, 35.94082840236686)	(3, 36.412721893491124)	(4, 36.353550295857985)	(5, 35.8594674556213)	(6, 36.33431952662722)	(7, 36.357988165680474)	(8, 36.428994082840234)	(9, 36.68491124260355)	(10, 36.48254437869822)	(15, 36.31479289940829)	(20, 36.30029585798817)	(25, 36.25355029585799)	(30, 36.21627218934911)	(35, 36.266863905325444)	(40, 36.02041420118343)	(45, 36.24082840236686)	(50, 36.23609467455621)	(55, 35.99260355029586)	(60, 36.15562130177515)	(65, 35.997337278106514)	(70, 36.03136094674556)	(75, 35.87278106508875)	(80, 36.038757396449704)	(85, 36.097041420118344)	(90, 36.11183431952663)	(95, 35.71272189349113)	(100, 35.98224852071006)	(105, 35.78165680473373)	(110, 35.72100591715976)	(115, 35.716568047337276)	(120, 35.83520710059172)	(125, 35.62781065088757)	(130, 35.92662721893491)	(135, 35.56508875739645)	(140, 35.84556213017751)	(145, 35.555325443786984)	(150, 35.555473372781066)
